EventId,Class,Weight
315911,b,0.0834140312717
202355,s,0.018636116672000002
265299,b,1.68161144262
292249,s,0.0015027048310099999
131205,b,4.88386600508
122715,s,0.018636116672000002
248787,b,0.0713571365583
299963,s,0.0015027048310099999
164107,b,1.9149152808400003
172097,b,2.22794775944
284700,b,2.2016480604099997
302119,b,2.8898989051200004
347049,b,0.0713571365583
334115,b,5.36520299052
153345,b,1.68161144262
337992,b,2.3561349587400002
170056,s,0.0015027048310099999
224731,s,0.018636116672000002
277034,s,0.0015027048310099999
308928,s,0.0015027048310099999
220970,b,2.2648976384
259007,s,0.0015027048310099999
232201,s,0.0015027048310099999
292132,b,2.06040159923
285771,s,0.0015027048310099999
254876,b,6.18578505017
299352,b,4.38218289025
257323,s,0.018636116672000002
327111,b,2.2028860917900004
115681,b,2.0689556153
244225,s,0.0015027048310099999
266665,s,0.0015027048310099999
271815,b,1.37366640382
159954,b,0.7440562472300001
152662,s,0.018636116672000002
322986,s,0.018636116672000002
179597,b,2.02864084594
185155,b,2.13643223246
335371,s,0.018636116672000002
118834,b,2.29998224336
189134,b,4.93595713928
294517,b,1.97064382877
128351,b,5.00180287251
137817,b,4.76290647427
291269,s,0.0015027048310099999
337501,s,0.0015027048310099999
215899,s,0.00150187015894
160975,s,0.00150187015894
283987,s,0.018636116672000002
213318,s,0.0015027048310099999
332638,b,0.7440562472300001
183914,b,2.38279417188
151629,b,4.71560660827
112768,s,0.0015027048310099999
254973,b,1.7785972812000002
292894,b,2.39377296183
143110,b,1.68161144262
263779,b,2.53896881084
225703,b,2.37396786995
216893,s,0.018636116672000002
149576,s,0.018636116672000002
131828,s,0.0015027048310099999
153064,s,0.018636116672000002
235855,b,0.0640607773058
124337,b,5.052151887190001
229781,s,0.00150187015894
270112,s,0.0026533113373299996
162091,b,2.1945242151
264128,s,0.018636116672000002
190395,b,4.3704977805
216557,b,1.68161144262
128606,s,0.018636116672000002
169566,b,5.41658177263
271905,s,0.018636116672000002
293458,b,2.9801946752599995
267479,b,2.16674681318
308872,s,0.018636116672000002
219388,s,0.0015027048310099999
215045,b,4.27330760658
290677,b,1.3397331187000001
153041,b,1.4548484726800002
131423,s,0.0015027048310099999
282007,b,2.01144738225
204450,b,4.81567459589
265781,b,1.68161144262
331332,s,0.0015027048310099999
124853,b,0.7440562472300001
188935,b,2.5428166550599998
339097,b,2.11481172436
323467,s,0.0026533113373299996
